################################################################
# MalwareBazaar recent malware samples (CSV)                   #
# Last updated: 2025-12-01 19:58:53 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "first_seen_utc","sha256_hash","md5_hash","sha1_hash","reporter","file_name","file_type_guess","mime_type","signature","clamav","vtpercent","imphash","ssdeep","tlsh"
"2025-12-01 19:58:53", "d9fa4a43701ad20105461cc3525b702faf9416485ca481f42c113bf87a6988dc", "d5540189a9eda67add1d5fdbc010017b", "611846899ac6bd1b6fb260856735e75f74a0cc2a", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "ac4ded70f85ef621e5f8917b250855be", "98304:HN661aykQ4cFmU8IEzO97F8ME20fSjbixu9eCzvmsRS+QSOEAN3v5IE:/0ykeFa7zO9uZ20Oio9acS+QTPN3iE", "T134260237B28A5F3EF06A463F59B292104D3B6E11B41A8C5696E42C4CDF3A0E01E7F657"
"2025-12-01 19:48:38", "a858736d73d25af0a0bad25fcb658e10f4fb29aa4500fabb03da63a95006886f", "7d6f96c1c9e15d082ebd7a136a44ac9b", "5fa10d8827aff9be3c709ba9bf9f7853d9cdc66c", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "9.86", "65cb0dfabea0271cbfbee44f029b33ca", "393216:7c5Xv9EjfoBmESeJsv6tWKFdu9C8Ex+M/D/t9JUliUQgjC:7c5X1EjfoBtsM7FLUliUbC", "T11B377D91E2C18062F675B0B1582E81BF69216F96472067EFB3D87B0B5931FE26D3720D"
"2025-12-01 19:32:11", "9929f1d675a2190594aef5ec37ab22af416879539d8ffb5c80194d2d3e8edcc3", "aa245b6006ef6e24763ed2fbb598834a", "5408ca6b0659ec7faa7cf506f1f5ed57a748e373", "threatcat_ch", "Request for Best Discounted Price NPO 2501117.exe", "exe", "application/x-dosexec", "RedLineStealer", "n/a", "77.78", "1895460fffad9475fda0c84755ecfee1", "49152:oPVtuLZeJbInQRaht1d9epupiXc9jcDmg27RnWGj:2sYbInQA7opupiXc9jcD527BWG", "T132A5F1027381C062FFAB95334B96F6155ABD7D260123A62F13981DB9FE701B1463E7A3"
"2025-12-01 19:18:47", "6acb851114fdc56205458aa12f2ddc014fc5a0db1cb0d29a6e481d8c40cae044", "9d269d7a373d11bec43b2c7b7bad15b3", "7825ad0f9413d49e0ff7845ef05d2110f2bb684d", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "56.94", "3641b918fa6fcd6b6754b75fd2065c00", "49152:B3GzaBUfkRn9JvBPjG3o9AugWEVcOkYK+sAFi5pLKwEdR2waua22e6ioZfg:BWz2fR9JvRj6kv+RFiHLKwEOul6Zg", "T165E533AD5BC22EF5D842E1340282871A6C3FE1495B54D5FF3D6A32532AEC4CC9B70E69"
"2025-12-01 19:18:22", "0142dc7d086ca275b229c427cfcbe3ffe5b8add65f34786914b524b7d36160f3", "48cacc507827b8916ddc5513b8fc81d4", "86283bb8cc0fa0ac8cfc4c77657ca05b951e0104", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "11.11", "1a80c6375b1e8b4fb7647584a007db18", "393216:JkEU0Xh/E2yphhJsv6tWKFdu9C5yi1UZCL+MetSN+HO6/xeZgl:Jkn0Xh/E2y1UZCqMYSCxeI", "T1DC378EC1A2C14061F564B0B1582EE1BE29216F954720A7DFB3E87F1A7971FE26D3A30D"
"2025-12-01 19:10:08", "15c53d580c9b05381a8bff9a60f83d82654c53980426998c3b1d0c9145d69f41", "0d37ed1d82fa4f0b0c044412fab0d60e", "8d8f1811103fbd707193ce379a51654b653bde78", "abuse_ch", "0D37ED1D82FA4F0B0C044412FAB0D60E.exe", "exe", "application/x-dosexec", "njrat", "n/a", "86.11", "f34d5f2d4577ed6d9ceec516c1f5a744", "384:g0bUe5XB4e0XfOZeANuiEO0YaHWTgtTUFQqzFuObbm:FT9Bu2IguiEYuAbm", "T171E207467BE58219C6BC2AF88CB313210772E3438472EB6F5CDC48DA4BA76D40641EE9"
"2025-12-01 18:54:02", "c92524830e27d62769727c44709dad2379a7545d39d2878075ea57149d84ebd8", "91e4b3c684577bbc083a7b132b49b520", "d5fa6ad5e3886b51b7475620664c7161cf7c4b0c", "anonymous", "INVITE.exe", "exe", "application/x-dosexec", "GoToResolve", "n/a", "44.44", "f8e4a22bcb1b836585534b93f63c1414", "393216:sIGdBtIDiCqWtLxXBi1/62Ocwf2o0b8MANHjLiB/ekS/mdVhReXpL:q9WtLzgOTbjZvk/ekS/mcpL", "T13837333132568471CC5211F1E929AFBBD66D6D248BB218D7B3EC5F2997601C33B32A1B"
"2025-12-01 18:52:32", "8561c9d0647f394dfa55f1217fa3da02576cfcbd9a7d442fb81479f6dad379b7", "d5ebff0cc52cbb5141c7dc63262fbd03", "33d6d5e80aa0cc2af77cdbf4dab5bb8c564f89ed", "abuse_ch", "UnHAnaAW.mips", "elf", "application/x-executable", "Mirai", "n/a", "56.45", "n/a", "3072:bcDXnKTd4uDXvfKgEU6LWmkcpffytWd0Fr8XB:bcDXnKTd4YXvfp7JmtpHrOsB", "T166C3D90D3F219FBCF7A8923507B78E259259338A37E1D181E15CDA016EA038E645FF99"
"2025-12-01 18:46:07", "bc29522ab9edfc8018a9771342d014e2028ed8485113f3f548f4706e6d1e567b", "64b14bace4f5287c359493c875449569", "75e80d24ad0f595c1c794f810eb9ed284b122767", "Alex_sev", "spooIsv.exe", "exe", "application/x-dosexec", "n/a", "n/a", "62.50", "5201b5460da476f5ca537a2824ed8680", "98304:GRXtISHJdgAzHA1EZHIhCGs6qeTi4c8m83wLdMNCYzrfa/dEB0+ELlZX:GQEdfHA1EVwTChZEhLaMalR", "T1D7B69E47FCA22DE4C4E98230D12B825ABAB17C591B7923DB1AE0B3781F327D05E76751"
"2025-12-01 18:42:35", "6c1a7f762788131dd10c5c77d738fcd711d994bfd79eaae491b97b6728a284fe", "5db0ff2e9dcdce35da778e6115e9d1b7", "0f5dce468d6e94b3a1819abb35aa57d737af83bd", "abuse_ch", "UnHAnaAW.m68k", "elf", "application/x-executable", "Mirai", "n/a", "57.38", "n/a", "1536:2s8CLTLez3aZGV481YJKt8cbvr6LhGq8ncMDX8gjmcj05PT:25OvWKkV4cYJKlHqkN790FT", "T1FDA36DDAF401DD3DF84AD7BB40670609BA24936117930F3BA69EFDD73D321A85A12E81"
